Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2021-07-30,-3.9,-3.9,-3.9,-3.9
2021-08-31,-2.5,-2.5,-2.5,-2.5
2021-09-30,11,11,11,11
2021-10-29,2.3,2.3,2.3,2.3
2021-11-30,5.3,5.3,5.3,5.3
2021-12-31,-2.9,-2.9,-2.9,-2.9
2022-01-31,-3,-3,-3,-3
2022-02-28,3.6,3.6,3.6,3.6
2022-03-31,18.2,18.2,18.2,18.2
2022-04-29,-11.3,-11.3,-11.3,-11.3
2022-05-31,1.4,1.4,1.4,1.4
2022-06-30,14.9,14.9,14.9,14.9
2022-07-29,-6.5,-6.5,-6.5,-6.5
2022-08-31,0.7,0.7,0.7,0.7
2022-09-30,9.8,9.8,9.8,9.8
2022-10-31,-0.7,-0.7,-0.7,-0.7
